q,yield_10y,debt_gdp,deficit_gdp,hicp_yoy,g_minus_r,epu,eurusd,log_eurusd,"Government primary deficit(-) or surplus(+), percent of GDP (GFS.Q.N.FR.W0.S13.S1._Z.B.B9P._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T)"
2010Q1,,85.989,-7.504,1.4333333333333331,,162.58901977539062,1.3829079365079364,0.32418848250442944,-4.879
2010Q2,,88.157,-7.906,1.8333333333333333,,218.5648956298828,1.2707507936507936,0.23960790189773395,-5.24
2010Q3,2.6652,86.267,-7.828,1.7666666666666666,,190.8071136474609,1.291039393939394,0.255447626,-5.106
2010Q4,3.021266666666667,86.278,-7.152,1.8666666666666665,,257.7856394,1.3582696969696968,0.30621160807060943,-4.612
2011Q1,,87.503,-6.697,2,4.600579271130289,214.5164998372396,1.367989063,0.3133418242853585,-4.124
2011Q2,3.459,89.002,-6.349,2.2333333333333334,3.635230107413207,211.39993286132807,1.4390619047619049,0.36399144627242574,-3.689
2011Q3,3.0050000000000003,88.25,-5.755,2.3000000000000003,2.850575378627821,260.1086018880208,1.4127030303030303,0.34550491197673605,-3.087
2011Q4,3.187766666666666,88.749,-5.304,2.6333333333333333,2.8916479803601884,314.4911295572917,1.348154688,0.2987367596156108,-2.589
2012Q1,3.0483666666666664,91.068,-5.284,2.566666666666667,2.7000033640151195,269.22874450683594,1.310823076923077,0.27065524290808723,-2.546
2012Q2,2.774766666666667,92.607,-5.394,2.333333333333333,0.9558129893442984,341.69945271809894,1.2814209677419357,0.24796959324009987,-2.644
2012Q3,2.212133333333333,91.334,-5.446,2.266666666666667,1.4388858188008162,210.02212524414065,1.2502446153846154,0.2233392244766601,-2.729
2012Q4,2.1076333333333337,91.742,-5.171,1.7333333333333334,1.0247938396312302,295.6537475585937,1.29669375,0.25981775563357734,-2.54
2013Q1,2.160266666666667,93.444,-5.231,1.2333333333333334,-0.22646353,273.45672098795575,1.3206290322580645,0.2781081626787917,-2.678
2013Q2,1.83935,94.979,-5.04,0.9,1.621796689183998,283.7082112630208,1.306231746031746,0.2671464623035784,-2.574
2013Q3,2.3647333333333336,94.028,-4.962,1.0666666666666669,1.9110188557479992,201.2248738606771,1.3241787878787878,0.28079248456048106,-2.535
2013Q4,2.3288333333333333,94.558,-4.938,0.7666666666666666,1.5691180526237605,232.3666432698568,1.360979688,0.3082047992376076,-2.607
2014Q1,2.262566666666667,96.256,-4.792,0.9,1.9024431065082053,194.4596710205078,1.369631746031746,0.3145419051902633,-2.498
2014Q2,1.8601333333333332,96.952,-4.746,0.7333333333333334,1.051271890047989,174.53479512532553,1.3710725806451614,0.3155933391097338,-2.478
2014Q3,1.4388333333333332,96.811,-4.621,0.5,1.5839948459409374,174.4817097981771,1.325559090909091,0.2818343258431266,-2.408
2014Q4,1.1061333333333332,96.164,-4.574,0.3333333333333333,1.2730788974589655,221.59381103515625,1.249804688,0.2229872895059693,-2.377
2015Q1,0.5912000000000001,98.063,-4.368,-0.233333333,0.9940805895325332,197.1304677327474,1.1261428571428571,0.11879839302245786,-2.283
2015Q2,0.8388333333333332,98.319,-4.452,0.2333333333333333,1.2600838133619543,237.4870758056641,1.1052709677419357,0.10009052458424562,-2.348
2015Q3,1.0400666666666667,97.824,-4.213,0.1333333333333333,0.712780036,249.84332784016928,1.11165,0.10584539808334055,-2.137
2015Q4,0.8931999999999999,96.978,-3.892,0.1999999999999999,1.424899226065118,213.10147603352863,1.0952707692307693,0.091001611,-1.861
2016Q1,0.6488666666666667,98.977,-3.666,0.033333333,0.9243894758607576,273.05231221516925,1.1019967741935486,0.097123783,-1.641
2016Q2,0.4704666666666666,99.701,-3.482,0.1,1.784493399572218,300.5959828694661,1.1292353846153846,0.12154075290994075,-1.545
2016Q3,0.1692333333333333,99.072,-3.6,0.4333333333333333,0.5989831499298137,293.46690368652344,1.116628787878788,0.11031413529094702,-1.67
2016Q4,0.5816666666666667,98.15,-3.765,0.6666666666666666,1.3233173326683567,371.162089,1.078945313,0.075984002,-1.864
2017Q1,0.9705,100.487,-3.974,1.4666666666666668,3.412962140377302,454.6519063313802,1.064796923076923,0.062784098,-2.039
2017Q2,0.7816666666666666,101.201,-3.891,1.0333333333333334,2.187123073590616,390.4863078,1.1021306451612902,0.097245256,-1.988
2017Q3,0.7493,100.337,-3.869,0.9666666666666668,3.393707856509849,199.0003458658854,1.1746076923076925,0.16093421295908691,-2.064
2017Q4,0.7357999999999999,98.761,-3.363,1.2,3.996528870267823,224.3356424967448,1.1773857142857145,0.16329648426655727,-1.573
2018Q1,0.8900666666666668,99.362,-3.085,1.5,3.136297284890253,202.91343688964844,1.2292142857142858,0.20637517316751539,-1.322
2018Q2,0.7714666666666666,99.427,-2.801,2.1333333333333333,3.5124849272290777,273.8923594156901,1.1914904761904763,0.17520502439880295,-1.054
2018Q3,0.7127666666666667,99.557,-2.376,2.566666666666667,4.280306531,218.3104909261068,1.1629015384615384,0.1509182082685509,-0.579
2018Q4,0.7609333333333334,98.53,-2.319,2.2,4.047111208425289,305.44244384765625,1.1414125,0.13226653052361925,-0.55
2019Q1,0.5446333333333334,99.504,-2.384,1.4333333333333331,3.4273906870365494,289.77354939778644,1.1357714285714289,0.12731209281060604,-0.726
2019Q2,0.2514666666666666,99.231,-2.503,1.3333333333333333,4.000700474165733,203.4584808349609,1.1237,0.11662681193171956,-0.814
2019Q3,-0.228533333,100.042,-2.734,1.2333333333333334,3.894989846,277.4600830078125,1.1119424242424245,0.10610841772751829,-1.143
2019Q4,-0.046433333,98.158,-2.394,1.2333333333333334,2.0826845977451907,252.89759318033853,1.10710625,0.1017496292471701,-0.878
2020Q1,-0.0068,101.228,-3.304,1.3666666666666665,-3.550136879,286.6500193277995,1.102660938,0.097726293,-1.791
2020Q2,-0.0306,113.019,-6.165,0.3333333333333333,-16.83235692,315.8968607584636,1.1014129032258064,0.096593813,-4.763
2020Q3,-0.18915,115.261,-6.756,0.3666666666666667,-3.949911975,292.6612091064453,1.168910606060606,0.15607220913016662,-5.363
2020Q4,-0.3095,114.907,-8.933,0.1,-3.307897382,339.8073425292969,1.1928984615384617,0.1763860276230316,-7.651
2021Q1,-0.0687,117.676,-9.796,1,2.592306240606578,253.7496490478516,1.204847619047619,0.1863531017243367,-8.468
2021Q2,0.1189333333333333,114.342,-8.287,1.7666666666666666,19.730541349926305,205.4870808919271,1.2058444444444445,0.18718010527965204,-6.971
2021Q3,-0.028366667,115.323,-7.999,2.2,6.696252714854476,240.14784240722656,1.178798484848485,0.16449568654674973,-6.722
2021Q4,0.07615,112.786,-6.585,3.333333333333333,8.245565322484806,303.8755594889323,1.1435257575757576,0.13411625943536826,-5.197
2022Q1,0.73085,114.427,-5.308,4.2,9.031820867551565,347.5434265136719,1.121684375,0.1148314618225335,-3.873
2022Q2,1.6197,112.931,-4.211,5.9,9.938778155258992,374.6732279459636,1.064652380952381,0.062648343,-2.568
2022Q3,1.934,113.117,-4.271,6.533333333333334,7.507851552587569,327.3875732421875,1.006960606060606,0.006936493,-2.496
2022Q4,2.6576,111.366,-4.744,6.966666666666666,5.888417181425039,312.40655517578125,1.02051875,0.020311076445373312,-2.824
2023Q1,2.8264666666666667,111.925,-4.673,7,5.867877620483062,335.6818542480469,1.073006153846154,0.070464199,-2.784
2023Q2,2.9247333333333336,111.312,-5.137,6.066666666666666,3.718267225891376,259.7232309977214,1.0886790322580644,0.084965064,-3.21
2023Q3,3.1101,111.231,-5.308,5.5,2.442827636885551,210.84650166829428,1.0884384615384617,0.084744065,-3.388
2023Q4,2.6549,109.765,-5.367,4.166666666666667,1.2489841497007903,288.52207438151044,1.0751031746031745,0.072416633,-3.496
2024Q1,2.804933333333333,110.567,-5.432,3,0.030267318,234.9368693033854,1.0857873015873016,0.082305347,-3.522
2024Q2,3.051766666666667,112.267,-5.477,2.5,-1.121225297,294.4968262,1.0767174603174603,0.073917024,-3.567
2024Q3,3.0118,113.637,-5.649,2.1,-0.288736865,450.3745422363281,1.0983454545454543,0.093804915,-3.644
2024Q4,3.0164,113.199,-5.773,1.7,-1.060968014,458.9474283854167,1.0681375,0.065916478,-3.75
2025Q1,3.39625,114.127,-5.786,1.2,-1.42944124,494.1708170572917,1.0523412698412695,0.051017463,-3.632
2025Q2,,,,0.7999999999999999,-0.886907647,496.5477701822917,1.1338032258064517,0.12557766803230577,-3.547
2025Q3,3.5172,,,0.9333333333333336,,428.65331013997394,1.1680863636363636,0.15536682314198902,-3.415
2025Q4,,,,,,,1.164653333333333,0.15242347478131485,
